Message ID,Date,Text
227949,16/03/2025 09:23:17,"مراسل صحيفة الحدث بغزة: أكثر من 25 شهيد خلال أسبوع برصاص وقصف الاحتلال الإسرائيلي جراء التصعيد الذي يتصاعد بين فينة واخرى بمناطق القطاع وسط استمرار حالة إغلاق المعابر ووقف إدخال المساعدات الإنسانية وتعطل الوصول إلى اتفاق يلزم الاحتلال بإتفاق وقف إطلاق النار.
فجر اليوم وفي ساعات الصباح أعلن عن **استشهاد المواطن فايز الطويل (62 عامًا) إثر قصف من مسيّرة إسرائيلية في بلدة جحر الديك** و** استشهاد المواطنة ندى صلاح عيسى متأثرة بإصابتها في قصف منزلها في مخيم النصيرات وسط قطاع غزة**"
227948,16/03/2025 08:09:26,إذاعة الجيش الإسرائيلي عن رئيس الأركان السابق: لا أستطيع إلا مدح حماس على كيفية خداعتنا ومغافلتنا
227947,16/03/2025 08:09:24,عاجل | القناة 12 الإسرائيلية: النيابة تعارض طلب نتنياهو إلغاء جلستي محاكمته الأسبوع المقبل
227946,16/03/2025 06:47:32,هآرتس عن مصادر: أحد منظمي التظاهرات المناوئة لبنيامين نتنياهو ضمن المتورطين في القضية الجديدة
227945,16/03/2025 06:47:30,"هآرتس عن مصادر: الشاباك اتخذ ""إجراءً استثنائيا"" ضد أحد كبار موظفي مكتب نتنياهو"
227944,16/03/2025 01:45:35,‏بوليتيكو عن مصادر أميركية: نرى فرصا جديدة لضرب قادة متشددين من جماعات مسلحة في الشرق الأوسط
227943,16/03/2025 01:45:34,‏بوليتيكو عن مصادر أميركية: قمنا في الأسابيع الأخيرة بزيادة الضربات ضد مسلحي حركة الشباب في الصومال
227942,16/03/2025 01:45:32,‏بوليتيكو عن مصادر أميركية: زدنا مؤخرا ضرباتنا على تنظيم داعش في سوريا والعراق
227941,16/03/2025 01:45:31,‏بوليتيكو عن مصادر أميركية: الولايات المتحدة قد توسع نشاطها العسكري في المنطقة
227940,16/03/2025 01:45:30,‏بوليتيكو عن مصادر أميركية: الضربات في اليمن جزء من المسار الأميركي الجديد في الشرق الأوسط
227939,15/03/2025 22:49:17,"قرابة عشرة آلاف إسرائيلي تظاهروا في تل أبيب للمطالبة بإتمام اتفاق وقف إطلاق النار في #غزة وتبادل الأسرى مع المقاومة الفلسطينية، وقالت صحيفة يديعوت أحرونوت إن ""قرابة عشرة آلاف إسرائيلي تظاهروا في شارع بيغن وسط مدينة تل أبيب (وسط)""."
227938,15/03/2025 22:33:44,‏مستشار الأمن القومي الأميركي: ترمب يتخذ إجراءات حاسمة ضد الحوثيين لحماية الأفراد والأصول الأميركية وردع الأعداء
227937,15/03/2025 22:33:11,No text
227936,15/03/2025 22:33:11,No text
227935,15/03/2025 22:33:06,"مفزاك راعام 

أشرف ترامب مباشرة على الهجمات في اليمن."
227934,15/03/2025 21:11:11,مراسل صحيفة الحدث بغزة: ليلة من اشد الليالي من حيث إطلاق النار الذي يصيب منازل المواطنين في المناطق والاحياء الشرقية لبلدة عبسان الكبيرة والجديدة شرقي خانيونس
227933,15/03/2025 21:03:04,"مسؤوليين إسرائيليين كبار: 

المفاوضات مع حماس وصلت إلى طريق مسدود بسبب الفجوة الكبيرة بين موقف إسرائيل والولايات المتحدة وموقف حماس."
